annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;Unnamed: 25;boule_6;boule_complementaire;nombre_de_gagnant_au_rang7;rapport_du_rang7;Unnamed: 28;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;Unnamed: 34
2003001;VE;20030321;20030520;31;15;29;22;40;;15-17-22-29-31-40;0;0;11;46826,9;308;4049,1;876;207,4;17608;103,7;26369;14,6;;eur;;17.0;7.0;293180.0;7,3;;;;;;;;;
2003002;VE;20030613;20030812;20;18;19;33;49;;18-19-20-33-46-49;2;7500000;9;76601;384;4397,3;1199;244,2;19892;122,1;32310;15,8;;eur;;46.0;3.0;370892.0;7,9;;;;;;;;;
2003003;JE;20030703;20030901;21;2;6;5;18;;2-5-6-18-21-38;0;0;5;62872,9;245;3129,2;723;179,6;12260;89,8;22886;12;;eur;;38.0;3.0;214321.0;6;;;;;;;;;
2003004;VE;20030711;20030909;10;42;26;15;46;;10-15-23-26-42-46;0;0;8;43041,7;200;4161;472;211,4;11734;105,7;14579;14,6;;eur;;23.0;22.0;204602.0;7,3;;;;;;;;;
2003005;VE;20031003;20031202;32;3;9;49;36;;3-6-9-32-36-49;6;3333334;10;64641,5;572;2761,5;921;181,8;25999;90,9;26906;12,8;;eur;;6.0;47.0;446278.0;6,4;;;;;;;;;
2003006;VE;20031031;20031230;3;9;10;16;7;;3-6-7-9-10-16;14;1428572;58;10804,2;2083;729,4;3105;73,6;57442;36,8;51829;8;;eur;;6.0;31.0;637522.0;4;;;;;;;;;
2003007;VE;20031212;20040212;1;4;15;25;3;;1-3-4-15-25-34;0;0;10;56043,1;319;4263,7;886;201,8;19942;100,9;25793;12,6;;eur;;34.0;24.0;385105.0;6,3;;;;;;;;;
2004001;VE;20040123;20040325;12;30;49;24;48;;2-12-24-30-48-49;0;0;10;59720;404;3596,8;935;197,2;21824;98,6;27469;13,6;;eur;;2.0;20.0;378129.0;6,8;;;;;;;;;
2004002;SA;20040417;20040618;8;45;7;29;14;;7-8-14-29-44-45;2;12500000;6;72804,3;268;3982,5;579;216,6;14702;108,3;18513;14;;eur;;44.0;49.0;275399.0;7;;;;;;;;;
2004003;VE;20040813;20041014;10;8;13;33;44;;1-8-10-13-33-44;3;5000000;5;102885,5;615;2102,3;984;129,4;29942;64,7;25110;10,2;;eur;;1.0;42.0;458114.0;5,1;;;;;;;;;
2004004;JE;20041202;20050202;48;14;34;23;19;;14-15-19-23-34-48;0;0;10;37707,6;174;5213,8;557;249,6;10613;124,8;15041;15,8;;eur;;15.0;26.0;203027.0;7,9;;;;;;;;;
2005001;JE;20050210;20050413;7;1;13;17;24;;1-7-13-17-24-41;3;5001186;7;47531,3;373;2178;654;134,6;17964;67,3;16069;10,4;;eur;;41.0;34.0;282606.0;5,2;;;;;;;;;
2005002;JE;20050407;20050608;35;2;32;40;17;;2-17-27-32-35-40;1;20008551;7;51838,8;252;3497,5;599;214,2;12033;107,1;16522;14,6;;eur;;27.0;10.0;211087.0;7,3;;;;;;;;;
2005003;VE;20050513;20050714;1;19;26;32;20;;1-19-20-26-32-38;0;0;7;74975,7;305;4210,4;662;211,6;18220;105,8;20280;15,2;;eur;;38.0;42.0;304134.0;7,6;;;;;;;;;
2005004;JE;20051027;20051228;42;34;32;20;47;;20-32-34-42-44-47;0;0;2;150620,2;199;3856;441;248;9080;124;11923;16,8;;eur;;44.0;5.0;161554.0;8,4;;;;;;;;;
